one	bir
method	metot
then	sonra
good	güzel
ground	zemin
supply	malzeme
stood	ayakta durmuþ
next	sonraki
arms kollar
be	olmak
army	ordu
matter	madde
soft	yumuþak
except	hariç
spring	ilkbahar
main	ana
down	aþaðý
form	yapý
edge	kenar
oxygen	oksijen
car	araba
difficult	zor
rain	yaðmur
necessary	gerekli
field	alan
body	vücut
capital	baþken
factors	faktörler
direction	yön
men	erkekler
ear	kulak
and	ve
first	birinci
several	birkaç
let's	haydi
join	katýlmak
doctor	doktor
across	karþýsýnda
round	yuvarlak
location	lokasyon
Africa	Afrika
statement	ifade
saw	testere
into	içine
million	milyon
those	onlar
children	çocuklar
certain	kesin
teacher	öðretmen
poem	þiir
head	baþ
dollar	dolar
speak	konuþmak
hair	saç
dry	kuru
open	açýk
son	erkek çocuk
draw	çizmek
soon	yakýnda
letter	mektup
watch	izlemek
especially	özellikle
took	almak (geçmiþ zaman)
per	baþýna
oh	oh
had	sahip olmak (geçmiþ)
circle	çember
believe	inanmak
direct	direkt
in	içeri
lead	kurþun
I	ben
quite	oldukça
his	onun (erkek)
that	o (eþya)
stick	yapýþmak
train	eðitmek
numeral	sayýsal
worker iþçi, emekçi 
bright	parlak
think	düþünmek
mark	iþaret
worker amele
square	kare
sugar	þeker
fire	ateþ
each	her biri
type	yazmak
skin	deri
suppose	tahmin yürütmek
copy	kopyalamak
march	mart
she	O (kadýn)
how	nasýl
way	yol
against	karþýsýnda
since	-den beri
sing	þarký söylemek
thing	þey
give	vermek
lift	kaldýrmak
although	raðmen
consonant	ünsüz harf
burn	yanmak
space	uzay, boþluk
sharp	keskin
loud	gürültülü
some	bazý
compare	karþýlaþtýrmak
safe	güvenli
feet	ayaklar
only	sadece
led	önderlik etmek (geçmiþ)
both	ikisi de
child	çocuk
silent	sessiz
put	koymak
state	durum
people	insanlar
green	yeþil
won't olmamak (gelecek)
middle	orta
seven	yedi
push	itmek
compound	madde
than	-den
feeling	his
ago	önce
choose	seçmek
nor	veya (olumsuz)
to	ona
well	iyi
cold	soðuk
hole	delik
team	takým
heat	ýsý
angle	açý
alone	yalnýz
break	kýrmak
may	belki
other	diðer
you sen
much	fazla
yes evet
remain	kalan
either	ikisi de
side	yan
follow	takip etmek
yellow sarý
building	bina
value	deðer
baby	bebek
fall	düþmek
company	þirket
set	ayarlamak
grew	büyümüþ
were	olmak (çoðul, geçmiþ)
actually	aslýnda
plants	bitkiler
determine	belirlemek
say	söylemek
fraction	parça
can	yapabilmek
trip	yolculuk
tall	uzun
question	soru
such	örneðin
problem	sorun
inside	içinde
year yýl
inches	inç (uzunluk birimi)
art	sanat
plane	uçak
member	üye
make	yapmak
again	yeniden, yine
air	hava
mountain	dað
score	skor
room	oda
fig	incir
plural	çoðul
this	o
visit	ziyaret
plan	plan
word kelime
read	okumak
third	üçüncü
grass	çimen
light	ýþýk
cow	inek

stream	akýntý
sister	kýz kardeþ
drawing	çizim
shoulder	omuz
energy	enerji
cloth	elbise
it's	olmak (hayvan veya cansýz)
object	obje
like	beðenmek
something	bir þey
allow	izin vermek
Indian	Hindistanlý
many	çok
hold	tutmak
glass	cam
or	veya
flow	akmak
uncle	amca
sell	satmak
desert	çöl
printed	yazýlmýþ
wonder	merak etmek
hour	saat
smell	koklamak
all	hepsi
evening	akþam
match	maç
learn	öðrenmek
solution	çözüm
section	bölüm
particular	belli
play	oynamak
least	en azý
could	yapabilmek (geçmiþ zaman)
early	erken

best	en iyi
cool	soðuk
repeat	tekrar etmek
wrote yazmak (geçmiþ)
wish	dilemek
toward	-e doðru
rope	halat
large	geniþ
filled	doldurulmuþ
got	sahip olmak
held	tutmak (geçmiþ)
built	bina edilmiþ
details	ayrýntýlar
include	içermek
use	kullanmak
bad	kötü
simple	basit
class	sýnýf
within	içinde
underline	alt çizgi vurgulama
cost	masraf
shall	olsun
win	kazanmak
stretch	geniþletmek
street	sokak
arrived	varmak (geçmiþ zaman)
sea	deniz
system	sistem
walk	yürümek
born	doðmuþ
with	birlikte

are	olmak fiili
away	uzak
hill	tepe
even	eþit
sound	ses
end	son
vowel	sesli harf
over	üzerinde
fine	iyi
your senin
five	beþ
ever	hep
dog	köpek
if	eðer
money	para
its	onun
bit	küçük parça
resent	gücenmek
possible	mümkün
can't	yapamamak
will	istek
once	bir kere
river	nehir
weight	kilo
return	dönmek
take	almak
molecules	molekül
great	müthiþ
wide	geniþ
left	sol
column	kolon
pole	kutup
change	deðiþmek
electric	elektrik
mouth	aðýz
pick	seçmek
sign	iþaret
nothing	hiçbir þey
deal	anlaþma
father	baba
lady	kadýn
north	kuzey
south	güney
west	batý
western	batýlý
about  	hakkýnda
yard bahçe
cat	kedi
produce	üretmek
young genç
passed	geçmiþ
pattern	patern
rolled	yuvarlanmýþ
surface	yüzey
already	zaten
interest	ilgi
winter	kýþ
today	bugün
close	kapatmak
suddenly	aniden
fingers	parmaklar
farmer	çiftçi
wind	rüzgar
six	altý
women	kadýnlar
my	benim
reach	ulaþmak
town	yerleþke
afraid	korkmuþ
wire	kablo
scientist	bilim adamý
four	dört


valley	vadi
spot	nokta
pull	çekmek
moon	ay
group	grup
easy	kolay
week	hafta
whose	kimin?
syllables	ders programý
decimal	ondalýk
them	onlar
probably	belki
build	bina etmek
cross	çapraz
upon	üstüne
because	çünkü
movement	hareket
clear	temizlemek
has	sahip olmak
Washington	Washington
while	süresince
wall	duvar
came	geldi
new	yeni
home	ev
oil	petrol, yað
process	iþlem
wife	eþ (kadýn)
stone	taþ
paint	boyamak
is	olmak
provide	saðlamak
wouldn't istememek
never	asla
let	izin vermek
God	tanrý
just	sadece
mind	akýl
after	sonra

white	beyaz
cook	piþirmek
they	onlar (insan)
meat	et
made	yapýlmýþ
fight	kavga
corner	köþe
grow	büyümek
sentence	cümle
sum	özet
