a bir
able yapabilen
about  	hakkinda
above	ustunde
across	karsisinda
act	hareket, eylem
action	aksiyon
actually	aslinda
add	eklemek
addition	ek olarak
adjective	sifat
afraid	korkmus
Africa	Afrika
after	sonra
again	yeniden, yine
against	karsisinda
age	yas
ago	once
agreed	anlasildi, kararlastirildi
ahead	onunde
air	hava
all	hepsi
allow	izin vermek
almost	neredeyse
alone	yalniz
along	boyunca
already	zaten
also	ayrica
although	ragmen
always	her zaman
America	Amerika
among	arasinda
amount	miktar
an	bir tek
and	ve
angle	aci
animal	hayvan
another	diger
answer	cevap
any	herhangi
anything	hicbir sey
appear	gozukmek
apple	elma
are	olmak fiili
area	bolge
arms kollar
army	ordu
around	etraf
arrived	varmak (gecmis zaman)
art	sanat
as	iken
ask	sormak
at	-de, -da
away	uzak

baby	bebek
back	arka
bad	kotu
ball	top
bank	banka
base	temel
be	olmak
bear	ayi
beat	yenmek
beautiful	guzel
became	olmak (gecmis zaman)
because	cunku
become	olmak
bed	yatak
been	olmak (gecmis zaman, pasif)
before	once
began	baslamak (gecmis zaman)
begin	baslamak
behind	arka
being	olmak (simdiki zaman)
believe	inanmak
bell	zil
belong	ait olmak
below	altinda
beside	yaninda
best	en iyi
better	daha iyi
between	arasinda
big	buyuk
bill	fatura
birds	kuslar
bit	kucuk parca
black	siyah
block	engellemek, bloklamak
blood	kan
blow	patlatmak
blue	mavi
board	tablo
boat	bot
body	vucut
bone	kemik
book	kitap
born	dogmus
both	ikisi de
bottom	dip
box	kutu
boy	erkek cocuk
branch	dal
break	kirmak
bright	parlak
bring	getirmek
British	Britanyali
broken	kirik
brother	erkek kardes
brought	getirilmis
brown	kahverengi
build	bina etmek
building	bina
built	bina edilmis
burn	yanmak
business	isletme
but	fakat
buy	satin almak
by	tarafindan

call	aramak
came	geldi
can	yapabilmek
cannot	yapamamak
can't	yapamamak
capital	basken
captain	yuzbasi, kaptan
car	araba
care	onemsemek
carefully	dikkatlice
carry	tasimak
case	dava, kilif
cat	kedi
catch	yakalamak
cattle	inek
caught	yakalamak (gecmis zaman)
cause	sebep
cell	hucre
center	merkez
cent	sent, para birimi
century	yuzyil
certain	kesin
chance	sans
change	degismek
chart	tablo
check	kontrol etmek
chief	sef
child	cocuk
children	cocuklar
choose	secmek
church	kilise
circle	cember
city	sehir
class	sinif
clean	temiz
clear	temizlemek
climb	tirmanmak
close	kapatmak
cloth	elbise
cloud	bulut
coast	kiyi
cold	soguk
color	renk
column	kolon
come	gelmek
common	ortak
company	sirket
compare	karsilastirmak
complete	tamamlanmis
compound	madde
condition	durum
consider	dusunmek
consonant	unsuz harf
contain	icermek
continue	devam etmek
control	kontrol
cook	pisirmek
cool	soguk
copy	kopyalamak
corn	misir
corner	kose
correct	dogru
cost	masraf
cotton	pamuk
could	yapabilmek (gecmis zaman)
couldn't	yapamamak (gecmis)
count	saymak
country	ulke
course	kurs
cover	kapsamak
cow	inek
create	olusturmak
cry	aglamak
crop	ekin
cross	capraz
crowd	kalabalik
current	mevcut
cut	kesmek

dance	dans etmek
dark	karanlik
day	gun
dead	olu
deal	anlasma
death	olum
decide	karar vermek
decimal	ondalik
deep	derin
describe	aciklamak
desert	col
design	tasarim
details	ayrintilar
determine	belirlemek
develop	gelistirmek
dictionary	sozluk
did	yapti
didn't	yapmadi
died	oldu
difference	fark
different	farkli
difficult	zor
direct	direkt
direction	yon
discover	kesfetmek
distance	mesafe
divided	bolunmus
division	bolum
do	yapmak
doctor	doktor
does	yapmak
doesn't	yapmamak
dog	kopek
dollar	dolar
done	yapmak (gecmis)
don't	yapmamak
door	kapi
down	asagi
draw	cizmek
drawing	cizim
dress	elbise
drive	araba kullanmak
drop	dusmek
dry	kuru
during	boyunca

each	her biri
early	erken
ear	kulak
earth	toprak, dunya
east	dogu
easy	kolay
eat	yemek
edge	kenar
effect	etki
egg	yumurta
eight	sekiz
either	ikisi de
electric	elektrik
element	element
else	diger
end	son
energy	enerji
engine	motor
England	Ýngiltere
English	Ýngiliz
enjoy	eglenmek
enough	yeterli
enter	girmek
entire	tum
equal	esit
equation	denklem
especially	ozellikle
Europe	Avrupa
even	esit
evening	aksam
ever	hep
every	hepsi
everyone	herkes
everything	her sey
exactly	aynen
example	ornek
except	haric
exciting	heyecan verici
exercise	egzersiz
expect	beklemek, ummak
experience	tecrube
experiment	deney
explain	aciklamak
express	ekspres
eye	goz

face	yuz
fact	gercek
factoriy	fabrika
factors	faktorler
fall	dusmek
family	aile
famous	unlu
far	uzak
farm	ciftlik
farmer	ciftci
fast	hizli
father	baba
fear	korku
feel	hissetmek
feeling	his
feet	ayaklar
fell	dusmus
felt	hissetmis
few	birkac
field	alan
fig	incir
fight	kavga
figure	figur
filled	doldurulmus
finally	nihayetinde
find	bulmak
fine	iyi
fingers	parmaklar
finished	bitmis
fire	ates
first	birinci
fish	balik
fit	uymak
five	bes
flat	duz
floor	zemin
flow	akmak
flowers	cicekler
fly	ucmak
follow	takip etmek
food	yemek
foot	ayak
for	icin
force	guc
forest	orman
form	yapi
forward	ileri
found	bulunmus
four	dort
fraction	parca
France	Fransa
free	bedava
French	Fransiz
fresh	taze
friends	arkadaslar
from	tarafindan
front	on
fruit	meyve
full	tam
fun	eglence

game	oyun
garden	bahce
gas	gaz
gave	verdi
general	genel
get	almak
girl	kiz
give	vermek
glass	cam
go	gitmek
God	tanri
gold	altin
gone	gitmis
good	guzel
got	sahip olmak
government	hukumet
grass	cimen
great	muthis
Greek	Yunan
green	yesil
grew	buyumus
ground	zemin
group	grup
grow	buyumek
guess	tahmin etmek
gun	silah

had	sahip olmak (gecmis)
hair	sac
halt	durmak
hand	el
happen	olmak
happy	mutlu
hard	zor
has	sahip olmak
hat	sapka
have	sahip olmak
he	erkek
head	bas
hear	duymak
heard	duydu
heart	kalp
heat	isi
heavy	agir
held	tutmak (gecmis)
help	yardim
her	O (kadin)
here	burada
high	yuksek
hill	tepe
him	O (erkek)
himself	kendisi (erkek)
his	onun (erkek)
history	tarih
hit	vurmak
hold	tutmak
hole	delik
home	ev
hope	umut
horse	at
hot	sicak
hour	saat
house	ev
how	nasil
however	ancak
huge	dev
human	insan
hundred	yuz (sayi)
hunting	avlanma

I	ben
ice	buz
idea	fikir
if	eger
I'll	ben (gelecekte)
important	onemli
in	iceri
inches	inc (uzunluk birimi)
include	icermek
increase	yukselmek
Indian	Hindistanli
indicate	gostermek
industry	endustri
information	bilgi
insect	bocek
inside	icinde
instead	yerine
instruments	enstruman
interest	ilgi
interesting	ilginc
into	icine
iron	demir
is	olmak
island	ada
isn't	olmamak
it	o (hayvan veya cansiz)
its	onun
it's	olmak (hayvan veya cansiz)
itself	kendisi (hayvan veya cansiz)

Japanese	Japon
job	is
join	katilmak
jump	ziplamak
just	sadece

keep	saklamak
