a bir
able yapabilen
about  	hakkýnda
above	üstünde
across	karþýsýnda
act	hareket, eylem
action	aksiyon
actually	aslýnda
add	eklemek
addition	ek olarak
adjective	sýfat
afraid	korkmuþ
Africa	Afrika
after	sonra
again	yeniden, yine
against	karþýsýnda
age	yaþ
ago	önce
agreed	anlaþýldý, kararlaþtýrýldý
ahead	önünde
air	hava
all	hepsi
allow	izin vermek
almost	neredeyse
alone	yalnýz
along	boyunca
already	zaten
also	ayrýca
although	raðmen
always	her zaman
America	Amerika
among	arasýnda
amount	miktar
an	bir tek
and	ve
angle	açý
animal	hayvan
another	diðer
answer	cevap
any	herhangi
anything	hiçbir þey
appear	gözükmek
apple	elma
are	olmak fiili
area	bölge
arms kollar
army	ordu
around	etraf
arrived	varmak (geçmiþ zaman)
art	sanat
as	iken
ask	sormak
at	-de, -da
away	uzak

baby	bebek
back	arka
bad	kötü
ball	top
bank	banka
base	temel
be	olmak
bear	ayý
beat	yenmek
beautiful	güzel
became	olmak (geçmiþ zaman)
because	çünkü
become	olmak
bed	yatak
been	olmak (geçmiþ zaman, pasif)
before	önce
began	baþlamak (geçmiþ zaman)
begin	baþlamak
behind	arka
being	olmak (þimdiki zaman)
believe	inanmak
bell	zil
belong	ait olmak
below	altýnda
beside	yanýnda
best	en iyi
better	daha iyi
between	arasýnda
big	büyük
bill	fatura
birds	kuþlar
bit	küçük parça
black	siyah
block	engellemek, bloklamak
blood	kan
blow	patlatmak
blue	mavi
board	tablo
boat	bot
body	vücut
bone	kemik
book	kitap
born	doðmuþ
both	ikisi de
bottom	dip
box	kutu
boy	erkek çocuk
branch	dal
break	kýrmak
bright	parlak
bring	getirmek
British	Britanyalý
broken	kýrýk
brother	erkek kardeþ
brought	getirilmiþ
brown	kahverengi
build	bina etmek
building	bina
built	bina edilmiþ
burn	yanmak
business	iþletme
but	fakat
buy	satýn almak
by	tarafýndan

call	aramak
came	geldi
can	yapabilmek
cannot	yapamamak
can't	yapamamak
capital	baþken
captain	yüzbaþý, kaptan
car	araba
care	önemsemek
carefully	dikkatlice
carry	taþýmak
case	dava, kýlýf
cat	kedi
catch	yakalamak
cattle	inek
caught	yakalamak (geçmiþ zaman)
cause	sebep
cell	hücre
center	merkez
cent	sent, para birimi
century	yüzyýl
certain	kesin
chance	þans
change	deðiþmek
chart	tablo
check	kontrol etmek
chief	þef
child	çocuk
children	çocuklar
choose	seçmek
church	kilise
circle	çember
city	þehir
class	sýnýf
clean	temiz
clear	temizlemek
climb	týrmanmak
close	kapatmak
cloth	elbise
cloud	bulut
coast	kýyý
cold	soðuk
color	renk
column	kolon
come	gelmek
common	ortak
company	þirket
compare	karþýlaþtýrmak
complete	tamamlanmýþ
compound	madde
condition	durum
consider	düþünmek
consonant	ünsüz harf
contain	içermek
continue	devam etmek
control	kontrol
cook	piþirmek
cool	soðuk
copy	kopyalamak
corn	mýsýr
corner	köþe
correct	doðru
cost	masraf
cotton	pamuk
could	yapabilmek (geçmiþ zaman)
couldn't	yapamamak (geçmiþ)
count	saymak
country	ülke
course	kurs
cover	kapsamak
cow	inek
create	oluþturmak
cry	aðlamak
crop	ekin
cross	çapraz
crowd	kalabalýk
current	mevcut
cut	kesmek

dance	dans etmek
dark	karanlýk
day	gün
dead	ölü
deal	anlaþma
death	ölüm
decide	karar vermek
decimal	ondalýk
deep	derin
describe	açýklamak
desert	çöl
design	tasarým
details	ayrýntýlar
determine	belirlemek
develop	geliþtirmek
dictionary	sözlük
did	yaptý
didn't	yapmadý
died	öldü
difference	fark
different	farklý
difficult	zor
direct	direkt
direction	yön
discover	keþfetmek
distance	mesafe
divided	bölünmüþ
division	bölüm
do	yapmak
doctor	doktor
does	yapmak
doesn't	yapmamak
dog	köpek
dollar	dolar
done	yapmak (geçmiþ)
don't	yapmamak
door	kapý
down	aþaðý
draw	çizmek
drawing	çizim
dress	elbise
drive	araba kullanmak
drop	düþmek
dry	kuru
during	boyunca

each	her biri
early	erken
ear	kulak
earth	toprak, dünya
east	doðu
easy	kolay
eat	yemek
edge	kenar
effect	etki
egg	yumurta
eight	sekiz
either	ikisi de
electric	elektrik
element	element
else	diðer
end	son
energy	enerji
engine	motor
England	Ýngiltere
English	Ýngiliz
enjoy	eðlenmek
enough	yeterli
enter	girmek
entire	tüm
equal	eþit
equation	denklem
especially	özellikle
Europe	Avrupa
even	eþit
evening	akþam
ever	hep
every	hepsi
everyone	herkes
everything	her þey
